Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2016,"11        ",Male,16,Right-Handed,183,27,185,1,Car,5,.340,36,Baseball/Softball,500,500,800,800,200,900,26,"Right foot",10,12,"Ring finger",February,Winter,Yes,No,Poultry,Water,History,8,10,5,"Yes - broadband connection","Text messaging",200,200,15,10,0,10,10,0,15,20,20,3,0,5,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,Actor,Other
USA,MO,2016,"12        ",Male,17,Right-Handed,173,27,137.5,1,Car,20,.32,36,Athletics,500,501,700,720,500,700,27,"Same length",105,110,"Ring finger",April,Fall,No,No,Meat,Water,Other,7,6,2,"Yes - other","Text messaging",231,232,62.5,2,1,5,30,3,8,15,10,10,10,5,"A lot","Undergraduate degree",Pop,Fly,Rich,"Coach or club leader",Religious
USA,MO,2019,"12        ",Male,17,Right-Handed,176,6,181,1,Walk,1,0.423,32,Baseball/Softball,700,1000,800,900,200,1000,6,"Right foot",90,70,"Index finger",August,Summer,No,No,Meat,Water,History,6-7,10-11,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,12,2,15,12,15,10,20,20,15,0,0,2,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Other,"Education/Youth development"
USA,MO,2018,"6         ",Male,12,Right-Handed,146,24,141,1,Car,12,0.267,33,Golf,342,251,455,540,561,626,24,"Same length",64,69,"Ring finger",September,Summer,No,No,Meat,Water,"Mathematics and statistics",9,11,6,"Yes - broadband connection","In person",1,1,8,1,4,5,10,1,2,1,2,2,0,2,None,"Graduate degree",Pop,Fly,Happy,"Sports person",Health
USA,MO,2017,"6         ",Male,11,Right-Handed,158,25,240,1,Car,10,0.456,43,"Football (American)",214,219,401,503,53,802,23,"Right foot",70,70,"Same length",June,Winter,Yes,No,Seafood,Water,"Physical education",7,9,4,"Yes - other","Cell phone",5,4,6,2,0,8,5,2,2,1,1,0,0,1,"Very little","Some college","Rap/Hip hop","Super strength",Famous,"Sports person",Health
USA,MO,2017,"6         ",Male,12,Right-Handed,180,27,190,1,Car,7,0.317,38,Skateboarding/Rollerblading,88,27,228,199,1000,1000,27,"Same length",70,70,"Index finger",May,Winter,No,No,"No favorite","Sports drink","Physical education",6,7,4,,"Text messaging",70,80,4,8,2,9,6,2,4,1,4,0,0,2,"A lot","Graduate degree",Pop,Telepathy,Healthy,"Sports person","Wildlife, animals"
USA,MO,2012,"7         ",Male,13,Right-Handed,177.8,28,175,1,Car,4,0.36,63,"Football (American)",700,800,800,850,1000,1000,27,"Right foot",85,90,"Ring finger",August,Summer,No,No,Pizza/Pasta,Water,Science,8,10,4,"Yes - broadband connection","Text messaging",300,400,6,1,10,1,15,2,1,10,2,4,5,2,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","International aid"
USA,MO,2020,"11        ",Male,17,Right-Handed,172,25,173,1,Car,10,0.417,47,Other,100,100,300,400,400,400,25,"Same length",90,85,"Index finger",November,Winter,No,No,Meat,"Soft drink (caffeinated)",History,5,9,4,"Yes - broadband connection","Text messaging",6,14,7,1,2,2,0,3,2,1,4,1,20,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Rich,Politician,"Education/Youth development"
USA,MO,2019,"12        ",Male,176,Left-Handed,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2016,"9         ",Male,14,Right-Handed,163,24,166,1,Bus,45,0.453,55,Baseball/Softball,800,700,1000,1000,300,400,24,"Same length",80,80.5,"Ring finger",November,Fall,Yes,No,"No favorite",Water,Art,10,9,5,"Yes - broadband connection","In person",1,1,8,2,3,7,12,2,1,2,3,3,0,12,Some,"Graduate degree",Country,"Super strength",Rich,Friend,Health
